Subject,Predicate,Object
girdle skeleton,subclassof,subdivision of skeleton
mesenchyme derived from neural crest,subclassof,mesenchyme
nitrogen-oxygen planetary atmosphere,in_subset,envopolar
leaf,subclassof,phyllome
tidal flow process,subclassof,water flow process
atmospheric wind speed,subclassof,speed
fluid environmental material,subclassof,environmental material
chlorophyllide a,subclassof,methyl ester
wall of blood vessel,subclassof,anatomical wall
ocean time series station,subclassof,research facility
chamber of eyeball,subclassof,ectoderm-derived structure
heart,subclassof,mesoderm-derived structure
enzyme inhibitor,subclassof,biochemical role
planetesimal,in_subset,envoastro
submarine groundwater discharge process,subclassof,groundwater discharge process
subpolar coniferous forest biome,in_subset,nmdc plantassociated broad scale value set
obsolete aquatic habitat,in_subset,envo-lite-gsc
vinegar food product,subclassof,condiment food product
alkaline flat,subclassof,dry lake bed
encompasses,inverseof,happens during
large freshwater lake biome,in_subset,nmdc plantassociated broad scale value set
frozen land,subclassof,land
population of organisms,subclassof,organism
miscellaneous food product (eurofir),subclassof,eurofir food classification
bacon curing brine,in_subset,nmdc water environmental medium value set
polyatomic entity,subclassof,molecular entity
upland soil,in_subset,nmdc soil environmental medium value set
mass gaseous flow,subclassof,mass fluid flow
geyser,subclassof,hot spring
factory,subclassof,industrial building
rocky sand,subclassof,sand
joint-plane cave,subclassof,cave
jack bean (dried),subclassof,bean (dried)
mafic lava,subclassof,lava
frazil,subclassof,new ice
namibian savanna woodland ecoregion,part of,afrotropical ecoregion
glacial ice thrusting,subclassof,glacial erosion process
mine pit,subclassof,pit
aerosolised particle formation process,subclassof,particulate matter formation process
lime mudstone,subclassof,limestone
glacial summer surface,subclassof,glacial surface layer
soil biocrust,subclassof,solid astronomical body part
oceanic zone,in_subset,envopolar
increased volume,subclassof,increased size
clastic sedimentary rock,subclassof,sedimentary rock
mine,in_subset,nmdc water local scale value set
salt dome,subclassof,surface landform
slightly saline water,subclassof,saline water
biogenous sediment,in_subset,envopolar
harbour,in_subset,nmdc water local scale value set
formal settlement,disjointwith,informal settlement
hydrological condensation process,subclassof,hydrological process
lake,in_subset,nmdc soil local scale value set
apple vinegar food product,subclassof,apple food product
delta,subclassof,landform
soy sauce food product,subclassof,fermented soybean food product
cardiac septum,subclassof,septum
food kiosk,subclassof,kiosk
17-hydroxy steroid,subclassof,hydroxy steroid
animal habitation,in_subset,nmdc soil local scale value set
frazil,in_subset,envopolar
alluvial paddy field soil,subclassof,paddy field soil
emulsion,subclassof,environmental material
photometeor,subclassof,meteor
polyester polymer,subclassof,polymer
solubility of nitrogen atom in soil,subclassof,solubility of nitrogen atom in environmental material
methanol,subclassof,primary alcohol
sclerophyllous forest biome,subclassof,arid biome
freshwater river biome,in_subset,nmdc water broad scale value set
slab avalanche,in_subset,envopolar
mediterranean forest,subclassof,subtropical forest
muscle organ,subclassof,organ
saurischia,subclassof,dinosauria
hydrogenphosphate,subclassof,phosphate ion
oxide,subclassof,oxygen molecular entity
dry pea food product,subclassof,pea food product
nitrogen molecular entity,subclassof,pnictogen molecular entity
titanium group molecular entity,subclassof,d-block molecular entity
temperate forest,subclassof,temperate ecosystem
nebula,subclassof,astronomical object
concentration of thallium in lake water,subclassof,concentration of
carboxylic acid,subclassof,organic acid
velvet bean (dried),subclassof,velvet bean
hydracid,subclassof,hydrogen molecular entity
tertiary alcohol,subclassof,alcohol
porosity of soil,subclassof,structure of soil
musculature,subclassof,organ system subdivision
sensitivity toward,subclassof,organismal quality
miso food product,subclassof,fermented soybean food product
desert spring,subclassof,spring
temperate mixed forest biome,subclassof,temperate mixed forest
endoderm of hindgut,subclassof,epithelium of hindgut
area of dwarf scrub,in_subset,nmdc plantassociated local scale value set
blowout,subclassof,surface landform
hot jupiter,subclassof,giant gas planet
decreased velocity,subclassof,decreased object quality
hydrogen chloride,subclassof,mononuclear parent hydride
argon-39 atom,subclassof,argon atom
biosphere,subclassof,astronomical body part
endodermal part of digestive tract,subclassof,endoderm-derived structure
carbon oxoanion,subclassof,organic anion
orchid soil,in_subset,nmdc soil environmental medium value set
snowmelt,in_subset,envopolar
cave wall,subclassof,surface of an astronomical body
fenestrated,subclassof,structure
chroococcales,subclassof,oscillatoriophycideae
continental rise,subclassof,slope
sausage (smoked),definition source,sausage
methane-laden permafrost,subclassof,permafrost
flooded savanna,subclassof,savanna
chocolate or cocoa,subclassof,cacao food product
place of worship,subclassof,human construction
tropical desert biome,subclassof,tropical desert ecosystem
cirque,subclassof,glacial valley
cabbage food product,subclassof,brassica food product
silty sediment,subclassof,sediment
plant cuticle,subclassof,portion of plant substance
mineral spring,subclassof,spring
multi-species collection of organisms,subclassof,collection of organisms
sinkhole,in_subset,nmdc water local scale value set
marine taylor column,subclassof,taylor column
freshwater lake ecosystem,subclassof,freshwater ecosystem
tropical marginal sea biome,in_subset,nmdc water broad scale value set
in taxon,subpropertyof,evolutionarily related to
public transport hub,subclassof,transport hub
blue,subclassof,color
water raindrop,subclassof,water droplet
oceanic crust,in_subset,nmdc water local scale value set
inhalation anaesthetic,subclassof,general anaesthetic
phyllome primordium,subclassof,anatomical entity
alluvial fan,subclassof,hydrographic feature
quality of interaction of a substance with electromagnetic radiation,subclassof,quality of a substance
chitin,subclassof,aminoglycan
mussel bed,in_subset,envomarine
active ecosystem management process,subclassof,anthropogenic environmental process
tunnel,subclassof,channel
concentration of violaxanthin in liquid water,subclassof,concentration of
island,subclassof,planetary landmass
soil layer bottom depth,subclassof,depth
falling snow,in_subset,envopolar
interstitial water,subclassof,liquid water
one-dimensional temporal region,subclassof,temporal region
subtropical moist broadleaf forest biome,in_subset,nmdc plantassociated broad scale value set
montane ecosystem,subclassof,terrestrial ecosystem
nitrogen oxoacid,subclassof,nitrogen molecular entity
bitumous coal,subclassof,coal
jet-effect wind,subclassof,atmospheric wind
fiat part of an astronomical object,subclassof,fiat object
trabecular,subclassof,irregular spatial pattern
water-body-derived ice,in_subset,nmdc water environmental medium value set
decreased elevation,subclassof,elevation
epipsammon,subclassof,periphytic biofilm
humic kerogen,subclassof,kerogen
solonchak,subclassof,soil
citrus fruit extract food product,subclassof,citrus fruit food product
second year ice formation,in_subset,envopolar
quality of a solid,subclassof,quality of a substance
dead flame paraffin lantern,subclassof,paraffin lantern
mustard food product,subclassof,brassica food product
amino-acid anion,subclassof,organonitrogen compound
whole plant development stage,subclassof,plant structure development stage
shredder,subclassof,manufactured product
church building,subclassof,building
lawn soil,subclassof,soil
acoustic radiation,in_subset,envoastro
maize (corn) food product,definition source,maize
silty clay,subclassof,clay
neurotransmitter,subclassof,molecular messenger
ranch,subclassof,farm
kastanozem,in_subset,nmdc soil environmental medium value set
data item,subclassof,information content entity
edible,disjointwith,inedible
smoked meat food product,subclassof,cured meat food product
continental island,subclassof,island
high-elevation mountain,subclassof,mountain
terrestrial environmental zone,subclassof,astronomical body part
marine wind mixed layer,subclassof,marine layer
nitrogen oxide,subclassof,inorganic oxide
epiblast (generic),subclassof,embryonic structure
motor vehicle,subclassof,vehicle
musculature of trunk,subclassof,musculature
usage of an environment for residential activity,subclassof,planned environmental usage process
mesoderm blood island,subclassof,blood island
root,in_subset,traitnet
bathymodiolinae,subclassof,mytilidae
astronomical observatory system,subclassof,observatory system
ocean acidification,subclassof,acidification of an aquatic environment
during which starts,inverseof,starts during
animal trap,subclassof,manufactured product
mediterranean shrubland biome,subclassof,subtropical shrubland biome
lumber production process,subclassof,planetary manufacturing process
anthracite,subclassof,coal
hail,in_subset,envopolar
shoreline,in_subset,nmdc soil local scale value set
mainshock,subclassof,tectonic earthquake
alpine tundra biome,in_subset,nmdc plantassociated broad scale value set
chitin,subclassof,n-acylglucosamine
inorganically enriched sediment,subclassof,chemically enriched sediment
has quality,subpropertyof,has characteristic
ribose phosphate,subclassof,aldopentose phosphate
biodiversity conservation process,subclassof,conservation-focused active ecosystem management process
dissolved carbon atom in environmental material,subclassof,solubility of carbon atom in environmental material
congelation sea ice,in_subset,nmdc water environmental medium value set
jaw mesenchyme,subclassof,head mesenchyme
bench,subclassof,piece of furniture
excreta material,subclassof,waste material
ballast tank,subclassof,manufactured product
brassica food product,definition source,brassica
soil,subclassof,astronomical body part
chloride salt,subclassof,chlorine molecular entity
fungal structure,subclassof,anatomical structure
kame,subclassof,surface landform
periventricular zone of hypothalamus,subclassof,organ part
pocasin,subclassof,freshwater wetland ecosystem
sarcosine,subclassof,n-methyl-amino acid
sandy clay,subclassof,clay
ocean surface stress,in_subset,envomarine
hydrocarbon-based environmental material,subclassof,environmental material
boiler slag,subclassof,coal ash
cupressales,subclassof,conifers ii
aqueous inkjet printer ink,subclassof,anthropogenic environmental material
amount of carbon atom in soil,subclassof,amount of carbon atom in environmental material
vadose zone,subclassof,solid layer
estuarine open water surface layer,subclassof,liquid air-water interface layer
tropical moist broadleaf forest biome,subclassof,tropical broadleaf forest biome
marine mud,subclassof,mud
fermented soybean food product,subclassof,soybean food product
temperate grassland biome,subclassof,temperate grassland
determined by,subpropertyof,part of
biotic carbon sequestration,subclassof,carbon sequestration process
pond bed,subclassof,submerged bed
naphthalene enriched sediment,subclassof,organically enriched sediment
cranial bone,subclassof,head bone
eukaryota,subclassof,organism
volume,subclassof,3-d extent
turbulent aquatic surface layer,subclassof,liquid air-water interface layer
lens of camera-type eye,subclassof,ectoderm-derived structure
multiyear ice,in_subset,nmdc water environmental medium value set
hydrogen atom,subclassof,s-block element atom
crustacean metabolite,subclassof,animal metabolite
stone building floor,subclassof,building floor
immune system,disjointwith,integumental system
buckewheat food product,subclassof,cereal grain food product
mediterranean woodland ecosystem,subclassof,mediterranean ecosystem
tea plantation,subclassof,plantation
dry soil,in_subset,nmdc soil environmental medium value set
fermented grain beverage,subclassof,plant derived fermented beverage
peninsula,subclassof,part of a landmass
orchard soil,subclassof,farm soil
landlocked sea,subclassof,inland sea
blood,subclassof,haemolymphatic fluid
endo-epithelium,subclassof,endoderm-derived structure
non-hydraulic cement,subclassof,masonry cement
titanium dioxide,subclassof,titanium oxides
carbonyl compound,subclassof,organic oxo compound
has member,subpropertyof,has part
clay soil,subclassof,soil
concentration of chloride in water,subclassof,concentration of
outer planetary core,subclassof,planetary core
anal membrane ectodermal component,subclassof,ecto-epithelium
acrolein,subclassof,enal
subtropical rainforest biome,subclassof,subtropical rainforest
digestive system,disjointwith,integumental system
camelid milk beverage,subclassof,mammalian milk beverage
silicon oxoanion,subclassof,inorganic anion
monadnock,subclassof,mount
acyclic olefin,subclassof,olefin
spring water,in_subset,nmdc water environmental medium value set
fissure cave,subclassof,cave
apical meristem,subclassof,portion of meristem tissue
camelid dairy food product,subclassof,dairy food product
increased humidity,subclassof,increased object quality
mud,subclassof,environmental material
volcanic arc,subclassof,archipelago
"aerobic respiration, using hydrogen as electron donor",subclassof,aerobic respiration
hobyo grassland and shrubland ecoregion,part of,afrotropical ecoregion
ice wedge,subclassof,geological fracture
subsurface landform,subclassof,landform
tropical soil,in_subset,nmdc soil environmental medium value set
interdigitated,subclassof,shape
pollution monitoring,in_subset,envopolar
mattress,subclassof,piece of furniture
electric power system,subclassof,manufactured product
spruce forest soil,subclassof,forest soil
migrating mesenchyme population,subclassof,mesenchyme
meadow ecosystem,subclassof,grassland ecosystem
oedipodinae,subclassof,acrididae
cabbage food product,subclassof,cruciferous inflorescence food product
beef (ground),image,631px-hackfleisch-1.jpg
atmospheric aerosolised particle formation event,subclassof,aerosolised particle formation event
pasta food product,subclassof,processed food product
iron planet,in_subset,envoastro
oil seep,in_subset,nmdc water local scale value set
stream,in_subset,nmdc water local scale value set
organonitrogen compound,subclassof,nitrogen molecular entity
alkali metal atom,subclassof,main group element atom
dermis adipose tissue,subclassof,dermis connective tissue
abattoir,subclassof,industrial building
young ice,subclassof,sea ice floe
irradiation by photosynthetically active radiation,subclassof,irradiation by non-ionizing radiation
carbonate system of ocean water,in_subset,envomarine
flooded savanna biome,in_subset,nmdc plantassociated broad scale value set
freezing rainfall,in_subset,envopolar
bronsted acid,subclassof,donor
subtropical convergence front,subclassof,oceanic front
saline marsh,in_subset,nmdc water local scale value set
fermented pomaceous fruit beverage,subclassof,vegetable juice food product
tropical dry broadleaf forest,subclassof,tropical rainforest
mini-neptune,in_subset,envoastro
mountain-gap wind,subclassof,jet-effect wind
tropical marine upwelling biome,in_subset,wwfbiome
ozone,subclassof,triatomic oxygen
estuarine open water pycnocline,subclassof,aquatic estuarine layer
haze,subclassof,aerosolised solids
elongated,subclassof,shape
mass wasting,in_subset,envopolar
stream run,subclassof,hydroform
nickel atom,subclassof,nickel group element atom
alkane,subclassof,hydrocarbon
fire whirl,subclassof,aeroform
glacial lake,in_subset,envopolar
atmospheric aerosol formation,subclassof,atmospheric process
second year ice,in_subset,envopolar
area of barren land,in_subset,envopolar
disconnected_from,expand assertion to,class: <http://www.w3.org/2002/07/owl#nothing> equivalentto: (bfo_0000050 some ?x) and (bfo_0000050 some ?y)
argon molecular entity,subclassof,noble gas molecular entity
fossil fuel,subclassof,fuel
portion of plant substance,subclassof,plant anatomical entity
polytunnel,subclassof,industrial building
firn,in_subset,envopolar
precipitation of sleet,subclassof,hydrological precipitation process
tropical grassland biome,in_subset,nmdc soil broad scale value set
physiological role,subclassof,biological role
mucopolysaccharide,subclassof,glycosaminoglycan
tropical mixed forest,subclassof,mixed forest
monovalent inorganic anion,subclassof,inorganic anion
cryospheric layer,in_subset,envopolar
oral epithelium from ectoderm,subclassof,ecto-epithelium
continuous with,subpropertyof,mereotopologically related to
beer wort food product,subclassof,wort food product
facility,subclassof,material entity
stellar wind,subclassof,mass plasma flow
occluded front,subclassof,weather front
marine channel,subclassof,channel of a watercourse
broad bean,subclassof,vetch seed
choroid plexus,subclassof,vascular plexus
fumarole-derived ice tower,subclassof,cryoform
temperate desert biome,subclassof,desert biome
bush fire,subclassof,land fire
concentration of neodymium in lake water,subclassof,concentration of
temperate woodland ecosystem,subclassof,temperate ecosystem
asphalt lake,subclassof,lake
mesenchyme of lower jaw,subclassof,structure with developmental contribution from neural crest
composed primarily of,subpropertyof,has part
oligotrophic water,in_subset,nmdc water environmental medium value set
pingo scar,subclassof,surface landform
stratification,subclassof,spatial pattern
polymetallic nodule ecosystem,subclassof,sediment environment
amniota,subclassof,tetrapoda
nmdc plantassociated environmental medium value set,subpropertyof,nmdc plantassociated value sets
mesoderm,subclassof,germ layer
anoxic water,subclassof,liquid water
coral bleaching process,subclassof,ecosystem process
anthropogenic geographic feature,subclassof,geographic feature
smog,subclassof,fog
mate food product,subclassof,nonfermented plant derived beverage product
has part structure that is capable of,subpropertyof,functionally related to
fluoride,subclassof,halide anion
primordium,subclassof,portion of meristem tissue
shower curtain,subclassof,manufactured product
neural plate,subclassof,ecto-epithelium
shell septum,subclassof,septum
permafrost congelation ice,in_subset,nmdc water environmental medium value set
inorganic hydride,subclassof,inorganic molecular entity
beer beverage,subclassof,fermented grain beverage
cloud top,subclassof,cloud part
tarn,in_subset,envopolar
cheddar cheese food product,subclassof,cow milk cheese
planet,in_subset,envopolar
nmdc water local scale value set,subpropertyof,nmdc water value sets
orange fruit beverage,subclassof,citrus fruit juice
booth,subclassof,human construction
present,subclassof,amount
phosphate(3-),subclassof,trivalent inorganic anion
flexibility,subclassof,quality of a solid
epilimnion,in_subset,nmdc water local scale value set
biome,subclassof,ecosystem
pork cured meat food product,subclassof,cured meat food product
temperate biome,subclassof,biome
plant resin,subclassof,portion of plant substance
sea,subclassof,lentic water body
industrial wastewate treatment plant,subclassof,wastewater treatment plant
has developmental contribution from,example of usage,mammalian thymus has developmental contribution from some pharyngeal pouch 3; mammalian thymus has developmental contribution from some pharyngeal pouch 4 [kardong]
temperate marine upwelling biome,subclassof,temperate biome
aquatic environment,subclassof,environmental system determined by a quality
feather,subclassof,cutaneous appendage
elemental platinum,subclassof,platinum molecular entity
invariant,subclassof,variability
powdery snow,in_subset,nmdc water environmental medium value set
nunatak,in_subset,envopolar
batholith,subclassof,igneous intrusion
gill,subclassof,organ
area of gramanoid or herbaceous vegetation,subclassof,grassland area
subtropical biome,subclassof,biome
foamy environmental material,subclassof,environmental material
area of developed space with low usage intensity,subclassof,area of developed space
indoor kitchen,subclassof,building part
theria <mammals>,subclassof,mammalia
brine channel,subclassof,cryoform
color pattern,subclassof,spatial pattern
nsidc blizzard,in_subset,envopolar
fertilized soil,subclassof,soil
gel,subclassof,solid environmental material
marginal sea biome,subclassof,marine biome
marine wind mixed layer,subclassof,liquid astronomical body part
gray matter,subclassof,central nervous system cell part cluster
sediment environment,in_subset,envoomics
atmosphere-ocean momentum transfer process,in_subset,envomarine
figure,subclassof,information content entity
leisure centre,subclassof,building
particulate environmental material,in_subset,envopolar
circling direction,subclassof,direction
trattoria,subclassof,restaurant
glycosaminoglycan,subclassof,aminoglycan
chyme material,subclassof,bodily fluid material
muscle tissue,subclassof,mesoderm-derived structure
flaw lead,in_subset,envopolar
ochrophyta,subclassof,stramenopiles
ocean strait,subclassof,strait
lateral plate mesoderm,subclassof,dense mesenchyme tissue
hydrogencarbonate,subclassof,carbon oxoanion
circulatory system,subclassof,anatomical system
artificial reef,subclassof,reef
first-order administrative region,subclassof,administrative region
monoatomic hydrogen,subclassof,monoatomic entity
temperate rainforest,subclassof,rainforest
elemental molecule,subclassof,elemental molecular entity
polymetallic nodule ecosystem,subclassof,marine ecosystem
soil,in_subset,envo-lite-gsc
calcite hot spring,subclassof,calcic spring
precedes,subpropertyof,temporally related to
increased size,subclassof,size
volume of runoff,subclassof,volume
exchangeable ion,subclassof,ion
positively regulates,subpropertyof,"causally upstream of, positive effect"
vasculature of organ,subclassof,vasculature
andosol,subclassof,soil
motor boat,subclassof,boat
environment determined by a biofilm on an animal surface,in_subset,envomeo
negatively regulates,subpropertyof,regulates
stream mouth,subclassof,hydroform
knackery,subclassof,industrial building
aquaculture process,subclassof,planned environmental usage process
chemical energy,subclassof,potential energy
material anatomical entity,disjointwith,immaterial anatomical entity
illuminated biosphere part,in_subset,envopolar
onium cation,subclassof,onium compound
panarthropoda,subclassof,ecdysozoa
fossil fuel power plant,subclassof,power plant
glacial transport process,subclassof,mass ice flow
heptane,subclassof,volatile organic compound
conifer woodland,subclassof,woodland ecosystem
skin environment,in_subset,envomeo
pain management unit facility,subclassof,hospital unit facility
vacherin mont dor cheese food product,subclassof,soft cheese food product
organochlorine compound,subclassof,chlorine molecular entity
archelosauria,subclassof,sauria
thoracic segment of trunk,subclassof,subdivision of organism along main body axis
coelurosauria,subclassof,theropoda
fume,subclassof,gaseous environmental material
canal,subclassof,watercourse
cowpea (pulse) food product,subclassof,bean food product
areal flooding,subclassof,flooding
nitric acid,subclassof,nitrogen oxoacid
animal feed,subclassof,food material
donor,subclassof,chemical role
deciduous (plant),subclassof,shedability
mesotrophic water,subclassof,liquid water
anion,subclassof,ion
carboxamide,subclassof,primary amide
alluvial sediment,subclassof,sediment
epixylon,subclassof,periphytic biofilm
isthmus,subclassof,surface landform
deionised water,subclassof,liquid water
metalloporphyrin,subclassof,coordination entity
non-saline sediment environment,in_subset,envoomics
chyme,subclassof,bodily fluid
marine hadal zone biome,subclassof,marine benthic biome
shoot axis,in_subset,rice
terrestrial mining,subclassof,land use process
coastal sea water,in_subset,nmdc water environmental medium value set
left side of,subclassof,position
flush,subclassof,position
marine oxygen minimum zone,in_subset,envopolar
has start location,subpropertyof,has part that occurs in
coastal water body,in_subset,envopolar
contaminated animal feed,subclassof,animal feed
conductivity,subclassof,physical quality
heart vasculature,subclassof,vasculature of trunk
nitrate,subclassof,reactive nitrogen species
resequent stream,subclassof,stream
mineral-to-(proton/hydroxide ion) exchange,subclassof,deionisation
concentration basin mediterranean sea biome,in_subset,nmdc water broad scale value set
increased area,subclassof,increased size
water cooling,subclassof,water flow process
macroplastic particle,subclassof,piece of plastic
ghost fishing,subclassof,anthropogenic environmental process
cardiovascular drug,subclassof,drug
public infrastructure,subclassof,human construction
up,subclassof,direction
aquaculture farm,in_subset,nmdc water local scale value set
amasake food product,subclassof,fermented rice beverage
envo.owl,versioniri,envo.owl
glaciation,subclassof,one-dimensional temporal region
cold-blast paraffin lantern,subclassof,tubular paraffin lantern
heart tube,subclassof,embryonic tissue
elemental chlorine,subclassof,chlorine molecular entity
spatial region,subclassof,immaterial entity
water intake,subclassof,human construction
salicornia,subclassof,salicornioideae
obsolete: watermelon plant,term replaced by,ncbitaxon_3654
shoot apical meristem,in_subset,traitnet
belt conveyor system,subclassof,conveyor system
amenity lake,subclassof,artificial lake
processed meat food product,subclassof,mammalian meat food product
fungi-associated environment,in_subset,envoomics
chloride,subclassof,monoatomic chlorine
monochrome solar rainbow,subclassof,solar rainbow
marine subtidal rocky reef biome,in_subset,nmdc water broad scale value set
carbohydrate phosphate,subclassof,phosphoric ester
drilling bore water,in_subset,nmdc water environmental medium value set
water scum,subclassof,scum
penplain,subclassof,plain
abandoned watercourse,subclassof,surface landform
landslide process,subclassof,mass wasting
polycyclic hydrocarbon,subclassof,carbopolycyclic compound
polder,subclassof,surface landform
oceanic gyre,subclassof,marine current
marine pelagic biome,subclassof,marine biome
ocean trench,in_subset,nmdc water local scale value set
temperate savanna,subclassof,temperate ecosystem
normal area,subclassof,area
plant based salad food product,subclassof,multi-component plant food product
choroid plexus,subclassof,vasculature of central nervous system
anthropogenic contamination feature,subclassof,anthropogenic geographic feature
melting,in_subset,envopolar
pelagic isopycnal surface,subclassof,isopycnal surface
acrylic paint medium,subclassof,paint thinner
dairy food product,subclassof,vertebrate animal food product
neritic sea surface microlayer biome,subclassof,neritic pelagic zone biome
wave-cut platform,subclassof,surface landform
cardiopharyngeal field,subclassof,anlage
benzopyrrole,subclassof,organic heterobicyclic compound
shrimp pond,in_subset,nmdc water local scale value set
realized in response to,example of usage,an inflammatory disease that is realized in response to an inflammatory process occurring in the gut (which is itself the realization of a process realized in response to harmful stimuli in the mucosal lining of th gut)
normal pressure,subclassof,pressure
niobium atom,subclassof,vanadium group element atom
ecosystem fragmentation process,subclassof,ecosystem process
1st arch mesenchyme from neural crest,subclassof,1st arch mesenchyme
crop canopy,subclassof,canopy
decreased width,subclassof,width
waste treatment plant,subclassof,industrial building
third-order administrative region,subclassof,administrative region
drainage basin,in_subset,nmdc soil local scale value set
iucn national park,subclassof,area protected according to iucn guidelines
seasonal snow patch,subclassof,snow patch
brown sea ice,in_subset,nmdc water environmental medium value set
plastic-frozen soil,in_subset,nmdc soil environmental medium value set
ear wax material,subclassof,bodily fluid material
distilled water,subclassof,liquid water
chair,subclassof,piece of furniture
marine tidal flow zone,subclassof,marine environmental zone
neurectoderm,subclassof,germ layer
epithelial vesicle,subclassof,epithelium
montane shrubland biome,subclassof,shrubland biome
conical,subclassof,convex 3-d shape
anthrosol,in_subset,nmdc soil environmental medium value set
v-shaped,subclassof,angular
day care facility,subclassof,child care facility
algal food product,seealso,the-seaweed-manifesto.pdf
magnesium tetrapyrrole,subclassof,magnesium coordination entity
lake with a hypoxic hypolimnion,subclassof,lake
rangeland biome,in_subset,nmdc soil broad scale value set
subcutaneous adipose tissue,subclassof,mesoderm-derived structure
lake surface,subclassof,liquid astronomical body part
peat swamp,subclassof,peatland
bay,subclassof,coastal inlet
avian egg food product,subclassof,avian animal food product
forest soil,subclassof,soil
radiant energy,subclassof,potential energy
nitrogen atom,subclassof,pnictogen
crevasse,disjointwith,crevice
subpolar,subclassof,environmental condition
vasculature of brain,subclassof,vasculature of organ
decreased mass density,subclassof,dense
waterspout,subclassof,tornado
bailey bridge,subclassof,bridge
homo,subclassof,homininae
entanglement process,subclassof,environmental system process
cropland ecosystem,subclassof,anthropised ecosystem
oxic lake,subclassof,lake
upper front,subclassof,weather front
concentration of divinyl chlorophyll a in liquid water,subclassof,concentration of chlorophyll in liquid water
active sulphate-reducing enrichment culturing unit,subclassof,active anaerobic enrichment culturing unit
tropical mixed forest biome,subclassof,tropical biome
presumptive mesoderm,subclassof,presumptive structure
channel,in_subset,envopolar
particulate environmental material,subclassof,environmental material
grain of desert sand,subclassof,solid astronomical body part
concentration of yttrium in water ice,subclassof,concentration of
drinking water,subclassof,fresh water
sea cliff,subclassof,cliff
vertical,subclassof,spatial pattern
semi-deciduous(plant),subclassof,shedability
inorganic oxide,subclassof,oxide
genitourinary system,subclassof,anatomical system
sulfur oxide,subclassof,sulfur molecular entity
ice gain,subclassof,ice accumulation process
transient,subclassof,structure
organic cyclic compound,subclassof,cyclic compound
sea ice formation process,in_subset,envopolar
gadolinium atom,subclassof,lanthanoid atom
temporally related to,definition source,allen%27s_interval_algebra
estuarine coastal upper water column,subclassof,aquatic estuarine layer
gray matter of telencephalon,subclassof,structure with developmental contribution from neural crest
non-saline planetary subsurface environment,in_subset,envomeo
ophthalmology clinic,subclassof,medical clinic
soil bulk density,subclassof,mass density of soil
ciliary processes,subclassof,multi-tissue structure
marine neritic benthic zone biome,in_subset,envopolar
fungi,has_obo_namespace,ncbi_taxonomy
loam,in_subset,nmdc soil environmental medium value set
anthropisation,subclassof,anthropogenic ecosystem conversion process
ash fall process,subclassof,precipitation process
montane savanna biome,in_subset,nmdc plantassociated broad scale value set
nimbostratus cloud,in_subset,envocloudatlas
agricultural ecosystem,subclassof,anthropised ecosystem
pharyngeal arch mesenchyme from neural crest,subclassof,mesenchyme derived from neural crest
estuarine open water upper water column,in_subset,envomarine
botanical garden,subclassof,garden
biofouling,subclassof,fouling
carbon-bearing gas emission process,subclassof,hydrocarbon gas emission process
pharyngeal arch mesenchyme from head mesenchyme,subclassof,embryonic tissue
central nervous system cell part cluster,subclassof,multi cell part structure
mesophilic sulfur spring,subclassof,sulfur spring
subtropical moist broadleaf forest,subclassof,subtropical rainforest
morphological feature,subclassof,anatomical structure
canal,in_subset,nmdc soil local scale value set
organismal quality,subclassof,physical object quality
thalamic complex,subclassof,nuclear complex of neuraxis
rift valley,subclassof,valley
frost heaving process,in_subset,envonceas
filamentous,subclassof,shape
respiratory system,disjointwith,excretory system
inorganic ion,subclassof,ion
marine coral reef biome,subclassof,marine reef biome
slab snow,in_subset,nmdc water environmental medium value set
tannery,subclassof,industrial building
oceanic mussel reef,subclassof,mussel reef
glacial lake,in_subset,nmdc water local scale value set
trunk bone,subclassof,trunk region element
permafrost methane explosion,subclassof,explosion process
thoracic cavity element,subclassof,thoracic segment organ
ribonucleotide,subclassof,ribose phosphate
primitive heart tube,subclassof,mesoderm-derived structure
inorganic nitrate salt,subclassof,nitrate salt
elemental carbon,subclassof,organic molecular entity
n-acylglucosamine,subclassof,glucosamines
submerged landform,subclassof,landform
analgesic,subclassof,pharmacological role
channel of an intermittent stream,subclassof,container of an intermittent water body
cork,subclassof,plant matter
tectonic plate boundary,subclassof,environmental zone
thermal pollution of an aquatic system,subclassof,thermal pollution
stony-iron meteorite,subclassof,meteorite
isothermal surface,subclassof,material isosurface
saline water,subclassof,liquid water
decreased amount,subclassof,present
gorgonzola cheese food product,subclassof,cow milk cheese
alcohol fermentation pit,subclassof,fermentation pit
process quality,subclassof,quality
embryonic cardiovascular system,subclassof,cardiovascular system
prison,subclassof,human construction
protostomia,subclassof,bilateria
has component,subpropertyof,has part
discarded fishing gear,subclassof,abandoned fishing gear
erosionally enriched glacial ice,subclassof,glacial ice
contains process,isdefinedby,bfo.owl
temperate marginal sea biome,in_subset,wwfbiome
treated wastewater,in_subset,nmdc water environmental medium value set
dry woodland,subclassof,tropical woodland ecosystem
secondhand smoke,subclassof,smoke
honey food product,subclassof,bee food product
during which starts,subpropertyof,temporally related to
carbon monoxide ice,in_subset,envoastro
decreased temperature,subclassof,decreased object quality
mediterranean woodland biome,subclassof,subtropical woodland biome
bacteria enriched soil,subclassof,enriched soil
cardiopharyngeal field,subclassof,embryonic tissue
custard dessert food product,definition source,custard
paraffin lamp,subclassof,lamp
agricultural waste material,subclassof,waste material
bowling alley,subclassof,building
